Extracted_Text,Confidence
Avastin,1.0
Augmentin,1.0
Azithral,1.0
Ascoril,1.0
Aciloc,1.0
Allegra,0.0
Avil,1.0
Aricep,1.0
Amoxyclav,1.0
Atarax,1.0
Azee,0.0
Anovate,0.0
Allegra-M,0.0
Alex,0.0
Armotraz,0.0
Albendazole,1.0
Arkamin,1.0
Altraday,0.0
Aldigesic-SP,0.0
Aldactone,1.0
Aricep-M,0.0
Andre,0.0
Anafortan,0.0
Ambrodil-S,0.0
Asthakind-DX,0.0
Aceclo,0.0
Althrocin,1.0
Asthalin,1.0
Axcer,0.0
Arachitol,1.0
Alfoo,0.0
Acemiz,0.0
amp,1.0
Azicip,0.0
Aquasol,0.0
Anobliss,1.0
Almox,1.0
AF,0.0
Aptimust,0.0
Phylline,1.0
Adaferin,1.0
Amitone,0.0
Ambrodil,1.0
AB-Flo-N,0.0
Atorva,1.0
Aziderm,0.0
Acogut,0.0
Ano,0.0
Angispan,0.0
Apdrops,0.0
Acivir,0.0
Aldigesic,0.0
Acitrom,1.0
Alerid,0.0
Azax,0.0
Aztor,0.0
Alciflox,0.0
Amifru,0.0
Asthakind,0.0
AB,0.0
Forte,1.0
Amaryl,1.0
Add,0.0
Aceclo-MR,0.0
Ambrodil-LX,0.0
Asthakind-LS,0.0
Acton-OR,0.0
Avamys,0.0
Acenac-P,0.0
Aerocort,1.0
Acemiz-S,0.0
Azeflo,0.0
Ace Proxyvon,1.0
Antiflu,1.0
Admenta,1.0
Azmarda,1.0
Alerid-D,0.0
Aldosmin,0.0
Allercet,1.0
Amlip,0.0
Amlopres-AT,0.0
Aztolet,1.0
Azikem,0.0
Amlovas,0.0
Acenac-MR,0.0
Atorlip-F,0.0
A-Ret,0.0
AB-Flo,0.0
Amantrel,0.0
Aquazide,0.0
Alkasol,0.0
Ajaduo,0.0
Andial,0.0
Alkof,0.0
Amlodac,1.0
Alaspan,0.0
Anabel,0.0
Air-M,0.0
Proxyvon,1.0
Aten,0.0
Aziwok,1.0
Ambrolite-S,0.0
Ambrodil-Plus,0.0
Asomex,1.0
Amlosafe,0.0
Angiplat,0.0
Azibact,0.0
Amrox-LS,0.0
Abzorb,0.0
Arip,0.0
Axogurd-SR,0.0
Alfusin,1.0
ATM,0.0
Alerfix,1.0
Advent,0.0
Amlovas-AT,0.0
Alivher,0.0
Aprezo,1.0
Acnesol,1.0
Amlopres,1.0
Actibile,1.0
Alex-L,0.0
Amtas,0.0
Arbitel-Trio,0.0
Asthakind-P,0.0
Azulix,0.0
Aqualube,0.0
Ambrolite,0.0
Acuclav,1.0
Acutret,1.0
Adalene,0.0
Anorelief,1.0
Atorfit,0.0
AD,0.0
Actrapid,0.0
Arpizol,1.0
Alkacip,1.0
Azilide,1.0
Atorlip,0.0
Augpen,0.0
Avas,0.0
Air,0.0
Arcalion,0.0
Apigat,1.0
Aquasurge,0.0
Arcolane,0.0
Amnurite,0.0
Atchol-F,0.0
Alensol-D,0.0
Artificial,0.0
Amitop,0.0
Atonide,1.0
Ambrodil-D,0.0
Apidra,0.0
Aquim,0.0
Acamprol,1.0
Amitryn,1.0
Acular,0.0
Acupat,1.0
Adilip,0.0
Allercet-M,0.0
Acceclowoc-P,0.0
Altraz,0.0
Atropine,1.0
Aquaviron,1.0
Acera-D,0.0
Atormac,0.0
Alphadol,1.0
Amicline,1.0
Amlokind-L,0.0
Amrolstar,0.0
Acuvert,0.0
Alzil,1.0
Amicon,1.0
Albucel,1.0
Amlong,1.0
Anxiset,1.0
All,0.0
Angiwell,0.0
Almefkem,0.0
Amlong-A,0.0
Acimol,0.0
Aprecap,0.0
Anasure,0.0
Adaple-C,0.0
Akilos-P,0.0
Azopt,1.0
Anosum,0.0
Acenext,0.0
Amlopin,1.0
Amlogard,1.0
Ampilox,0.0
Azoran,1.0
Angicam-Beta,0.0
Altonil,1.0
Abd,0.0
Anxipan,0.0
Amtas-AT,0.0
Azimax,1.0
Aztogold,0.0
Acimol-SP,0.0
Afdura,0.0
Acrotac,0.0
Alight,0.0
Amlokind-H,0.0
Amtas-M,0.0
Aclind,0.0
Arbitel-AM,0.0
Anabel-CT,0.0
Anafortan-MF,0.0
Acnedap,1.0
Ampoxin,1.0
Aerodil,0.0
Alevo,0.0
Anfoe,0.0
Acnovate,0.0
Alcarex,0.0
Azifast,0.0
Azivent,1.0
Amlong-H,0.0
Levo,1.0
Anaflam,0.0
AB-Next,0.0
Airz,0.0
Amrox,1.0
Atchol-ASP,0.0
Amlovas-M,0.0
Atchol,1.0
Arflur,1.0
Aginal-AT,0.0
Asprito,1.0
